PRODUCT NAME,COMPANY NAME,CAD PRICE ($),USD PRICE
NOTA Slender Pens Warm Set Of 3,Indigo Books & Music,CA$14.99,$11.24
1 lb of Pens Assorted Styles and Colours | Princess Auto,Princess Auto,CA$9.99,$7.49
Indigo Paper Scandi Style Pen Pack Pewter Set Of 2,Indigo Books & Music,CA$18.00,$13.50
Ballpoint Pen Knock Type Body,muji.ca,CA$0.90,$0.67
The "liquid Rose" Pen,eBay,CA$7.96,$5.97
Indigo Cat Lover Pens Set Of 4,Indigo Books & Music,CA$14.99,$11.24
Canada Maple Leaf Pen,UCanada - Royal Canadian Gifts,CA$3.99,$2.99
Pen+gear 4pk Rt Ball Blk Pen + Gear Black,Walmart.ca,CA$3.12,$2.34
Car Shaped Ballpoint Penone-size,SHEIN,CA$2.00,$1.50
400 Custom The Brass Co. Alpha Pen Set,Canpromos,CA$18380.00,$13785.00
Creative Metal Magnetic Gel Pens For Writing Decompression Toy Fidget Pen Set For ...,AliExpress.com,CA$19.13,$14.35
Metal Ball Pen Lunxry Slim Ballpoint Pen for BusinessBall PenMetal Pen,Made-in-China.com,CA$0.69,$0.52
Richmont Ballpoint Pen,Hardgoods.ca,CA$2.42,$1.82
Orbisify Luxury Metal Pen Classic,Orbisify,CA$13.33,$10.00
Gen Ink Pen,Yorkn.ca,CA$1.42,$1.06
Staples Icebreaker Ballpoint Pens - 1.0 mm - Black - 12 Pack,Staples Canada,CA$8.49,$6.37
Pen,Walmart.ca Marketplace,CA$9.42,$7.07
Fj?der Ballpoint Pen with Stand- Black,www.theboxeddragon.com,CA$39.99,$29.99
Calder Brass Pen (anecdote),Stoberi,CA$6053.46,$4540.09
Prosperity Potion--Floating 24 Karat Gold Handmade Pen ONE you pick your favorite!,Etsy - TheValkyriesJewel,CA$12.51,$9.38
Ardene Motion Glitter Ballpoint Pen in Silver,Ardene,CA$6.90,$5.17
40Pcs Cartoon Anime Ball Pen Plastic Ball Pen Ballpoint Pen Pressed Ballpoint Pen ...,AliExpress.com,CA$15.17,$11.38
NOTA Printed Pens Modernist Set Of 4,Indigo Books & Music,CA$14.99,$11.24
250 Mood Fun Guy Pen,Myron Canada,CA$372.50,$279.38
Parker Jotter Ballpoint Pen - Stainless Steel Chrome Trim,The Online Pen Company,CA$19.77,$14.83
Faber-Castell Grip Edition Fountain & Ballpoint Pen Set - Gold,Blesket Canada,CA$52.00,$39.00
Aluminum and plastic pen,ImaginaPub.com,CA$2.29,$1.72
Bolt Action Gold Pen Oak,Gifts of Ireland,CA$92.04,$69.03
2pcs Ballpoint Pen With Storage Boxone-size,SHEIN,CA$23.00,$17.25
Ballpoint Pens 6PK (Assorted Colours) - Case of 24,Dollarama,CA$30.00,$22.50
Pen 2 pens,Zazzle.ca,CA$13.60,$10.20
Bullet Moneta Ballpoint Pen,Loblaws,CA$4.95,$3.71
NPW Positive Pens,Indigo Books & Music,CA$15.00,$11.25
Arch stroke 1mm black ballpoint pen,Fallindesign,CA$6.60,$4.95
Fj?der Ballpoint Pen with Stand- Ocean,www.theboxeddragon.com,CA$39.99,$29.99
100% Authentic Michel Perchin Fountain Pen,eBay,CA$15340.42,$11505.31
Offix Ballpoint Pen,Mr. Case,CA$1.29,$0.97
Stilform Rose Moon Aluminium Ballpoint Pen,stilform,CA$130.47,$97.85
Faber-Castell Basic Ballpoint Pen Silver,House of Fine Writing,CA$7.68,$5.76
Bullet Moneta Aluminium Ballpoint Pen Solid Black One Size,Real Atlantic Superstore,CA$4.70,$3.52
Signature Pen Set: Double Act,Scribbly,CA$13.50,$10.13
Faber Castell Hexo Fountain Pen - Silver - Medium,Pen Boutique,CA$58.69,$44.02
AGM Ballpoint Pen (Gift Box),B&H Photo Video Audio,CA$33.35,$25.01
Bullet Slim Aluminium Ballpoint Pen Blue One Size,Real Canadian Superstore,CA$4.70,$3.52
Canadian 3 Pen Sets.,souvenir du quebec,CA$9.99,$7.49
Fashion Design Slim Ballpoint Pen Metal Ball Pen for HotelBall Point Pen ...,Made-in-China.com,CA$0.33,$0.25
6 Color In 1 Gel Pens For Office Student Ink Pen Chalk Pen Xmas Gift Ikemiter ...,Walmart.ca Marketplace,CA$18.22,$13.66
Pigma Micron Black 6-Pen Set,Michaels Stores Canada,CA$24.99,$18.74
1pc Christmas Decor Random Ballpoint Penone-size,SHEIN,CA$2.00,$1.50
Verdi Metal Pen,Van Bind,CA$1.94,$1.46
Grimfrost Pen,Grimfrost,CA$2.53,$1.90
Customized Promotional Folsom Flat Pen,everythingbranded.ca,CA$0.74,$0.56
Aircraft Pen,Game & Hobby Zone,CA$5.99,$4.49
Pen W/ Base Elctrpltd Silver,Party City Canada,CA$6.99,$5.24
Pluma Style Ballpoint Pen,Etsy,CA$34.76,$26.07
NOTA Soft Touch Pens Set Of 6,Indigo Books & Music,CA$11.00,$8.25
Ardene Motion Glitter Ballpoint Pen in Pink,Ardene,CA$6.90,$5.17
Silhouette Sketch Pen Starter Kit,Oakridge Hobbies Stores,CA$19.81,$14.86
Olmsted Ballpoint Pen Starter Set,Lee Valley Tools,CA$49.90,$37.42
Lighted King Of Spades Ink Pen,eBay,CA$16.01,$12.01
